Ref,Val,Package,PosX,PosY,Rot,Side
"C1","47uF","CP_EIA-7343-30_AVX-N",8.013700,12.674600,180.000000,bottom
"C6","1uF","C_0603_1608Metric",75.844400,44.043600,90.000000,bottom
"C7","100nF","C_0603_1608Metric",77.368400,44.043600,90.000000,bottom
"C10","1uF","C_0603_1608Metric",85.140800,31.902400,180.000000,bottom
"C11","100nF","C_0603_1608Metric",85.140800,33.477200,180.000000,bottom
"R2","50R","R_0603_1608Metric",29.248000,48.006000,0.000000,bottom
"U3","74LVC2G17","SOT-363_SC-70-6",77.320201,47.208599,270.000000,bottom
"U5","74HC590A","SOIC-16_3.9x9.9mm_P1.27mm",87.376000,25.908000,180.000000,bottom
