Qty,Line Item,Manufacturer,MPN,Octopart URL,Schematic Reference,Internal Part Number,Description,Total Qty (@ Batch Size: 1),SKU,SKU,SKU,SKU,Packaging,Packaging,Packaging,Packaging,Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),Unit Price (@ Batch Size: 1),In Stock,In Stock,In Stock,In Stock,MOQ,MOQ,MOQ,MOQ,URL,URL,URL,URL,Distributor [Lowest Price (Overall)],SKU [Lowest Price (Overall)],Packaging [Lowest Price (Overall)],Unit Price (@ Batch Size: 1) [Lowest Price (Overall)],Line Total [Lowest Price (Overall)],Batch Total [Lowest Price (Overall)],In Stock [Lowest Price (Overall)],MOQ [Lowest Price (Overall)],URL [Lowest Price (Overall)],Notes
,,,,,,,,,Digi-Key,Future Electronics,Mouser,RS Components,Digi-Key,Future Electronics,Mouser,RS Components,Digi-Key,Future Electronics,Mouser,RS Components,Digi-Key,Future Electronics,Mouser,RS Components,Digi-Key,Future Electronics,Mouser,RS Components,Digi-Key,Future Electronics,Mouser,RS Components,,,,,,,,,,
4,565-APXJ200ARA151MF61GCT-ND,United Chemi-Con,APXJ200ARA151MF61G,https://octopart.com/apxj200ara151mf61g-united+chemi-con-105791766,C1 C3 C98 C99,,150µF 20V Aluminum - Polymer Capacitors Radial  Can - SMD 23mOhm 15000 Hrs @ 105°C,4,565-APXJ200ARA151MF61GCT-ND,,,,Cut Tape,,,,0.5843472,,,,1700,,,,1,,,,https://octopart.com/click/track?c=1&ai=8237&sig=0899edf&sid=459&ppid=105791766&vpid=587734292&ct=offers,,,,Digi-Key,565-APXJ200ARA151MF61GCT-ND,Cut Tape,0.5843472,2.3373888,2.3373888,1700,1,https://octopart.com/click/track?c=1&ai=8237&sig=0899edf&sid=459&ppid=105791766&vpid=587734292&ct=offers,
2,490-9666-1-ND,Murata,GRM1885C1H103JA01D,https://octopart.com/grm1885c1h103ja01d-murata-29183412,C12 C7,,10000pF ±5% 50V Ceramic Capacitor C0G  NP0 0603 (1608 Metric),2,490-9666-1-ND,3104097,81-GRM1885C1H103JA1D,8151430,Cut Tape,Cut Tape,Tape & Reel,,0.1778448,0.16598848,0.1863136,,497350,255248,349069,7700,1,1,1,100,https://octopart.com/click/track?ai=8237&sig=06bfc24&sid=459&ppid=29183412&vpid=134455074&ct=offers,https://octopart.com/click/track?ai=8237&sig=0adfb3a&sid=2454&ppid=29183412&vpid=657019007&ct=offers,https://octopart.com/click/track?ai=8237&sig=0df4877&sid=2401&ppid=29183412&vpid=76846320&ct=offers,https://octopart.com/click/track?ai=8237&sig=0a53b1c&sid=10022&ppid=29183412&vpid=565631031&ct=offers,Freelance Electronics,GRM1885C1H103JA01D,,0.0133044848,0.0266089696,0.0266089696,2775,1,https://octopart.com/click/track?ai=8237&sig=0ba7368&sid=13062&ppid=29183412&vpid=592344894&ct=offers,
4,399-A767EB226M1VLAE050CT-ND,KEMET,A767EB226M1VLAE050,https://octopart.com/a767eb226m1vlae050-kemet-75360436,C85 C9 C13 C5,,22µF 35V Aluminum - Polymer Capacitors Radial  Can - SMD 50mOhm 2000 Hrs @ 105°C,4,399-A767EB226M1VLAE050CT-ND,,80-A767EB226M1VLAE50,,Cut Tape,,Tape & Reel,,0.6266912,,0.6859728,,3344,,1898,,1,,1,,https://octopart.com/click/track?ai=8237&sig=0179e98&sid=459&ppid=75360436&vpid=598801428&ct=offers,,https://octopart.com/click/track?ai=8237&sig=01f40f2&sid=2401&ppid=75360436&vpid=458144287&ct=offers,,Digi-Key,399-A767EB226M1VLAE050CT-ND,Cut Tape,0.6266912,2.5067648,2.5067648,3344,1,https://octopart.com/click/track?ai=8237&sig=0179e98&sid=459&ppid=75360436&vpid=598801428&ct=offers,
4,445-4536-1-ND,TDK,C3225X7S1H106K250AB,https://octopart.com/c3225x7s1h106k250ab-tdk-25947885,C16 C8 C15 C6,,10µF ±10% 50V Ceramic Capacitor X7S 1210 (3225 Metric),4,445-4536-1-ND,3103617,810-C3225X7S1H106K,7407795,Cut Tape,Cut Tape,Tape & Reel,,0.8722864,0.8976928,0.8722864,,128658,22397,174171,220,1,1,1,10,https://octopart.com/click/track?ai=8237&sig=0e7e633&sid=459&ppid=25947885&vpid=63975630&ct=offers,https://octopart.com/click/track?ai=8237&sig=0380b72&sid=2454&ppid=25947885&vpid=495873583&ct=offers,https://octopart.com/click/track?ai=8237&sig=0f38b64&sid=2401&ppid=25947885&vpid=87603424&ct=offers,https://octopart.com/click/track?ai=8237&sig=0283e62&sid=10022&ppid=25947885&vpid=565920517&ct=offers,Quest,C3225X7S1H106K,,0.63516,2.54064,2.54064,170,1,https://octopart.com/click/track?ai=8237&sig=0d91450&sid=2412&ppid=25947885&vpid=595354741&ct=offers,
1,311-1427-1-ND,Yageo,CC0603KRX7R9BB473,https://octopart.com/cc0603krx7r9bb473-yageo-9292680,C11,,0.047µF ±10% 50V Ceramic Capacitor X7R 0603 (1608 Metric),1,311-1427-1-ND,3556750,603-C0603KRX7R9BB473,6698811,Cut Tape,Cut Tape,Tape & Reel,,0.084688,0.08299424,0.084688,,504355,1480,146674,156000,1,1,1,4000,https://octopart.com/click/track?ai=8237&sig=0315182&sid=459&ppid=9292680&vpid=45699683&ct=offers,https://octopart.com/click/track?ai=8237&sig=0117666&sid=2454&ppid=9292680&vpid=110203593&ct=offers,https://octopart.com/click/track?ai=8237&sig=0a43454&sid=2401&ppid=9292680&vpid=75751493&ct=offers,https://octopart.com/click/track?ai=8237&sig=01c1b33&sid=10022&ppid=9292680&vpid=566107612&ct=offers,Arrow Electronics,CC0603KRX7R9BB473,Cut Tape,0.042428688,0.042428688,0.042428688,3948,1,https://octopart.com/click/track?ai=8237&sig=02df1a2&sid=1106&ppid=9292680&vpid=473547156&ct=offers,
2,1276-1029-1-ND,Samsung,CL21B105KBFNNNE,https://octopart.com/cl21b105kbfnnne-samsung-10518888,C14 C10,,1µF  ±10%  50V  MLCC X7R  0805 (2012 Metric),2,1276-1029-1-ND,8004007,,,Cut Tape,Cut Tape,,,0.1100944,0.14142896,,,836650,3424418,,,1,1,,,https://octopart.com/click/track?ai=8237&sig=0f51794&sid=459&ppid=10518888&vpid=72526127&ct=offers,https://octopart.com/click/track?ai=8237&sig=09df6f6&sid=2454&ppid=10518888&vpid=495872692&ct=offers,,,Quest,CL21B105KBFNNNE,,0.1016256,0.2032512,0.2032512,1219,1,https://octopart.com/click/track?ai=8237&sig=0174e02&sid=2412&ppid=10518888&vpid=507780084&ct=offers,
4,311-1787-1-ND,Yageo,CC0603KRX5R9BB105,https://octopart.com/cc0603krx5r9bb105-yageo-48690813,C91 C90 C88 C89,,1µF ±10% 50V Ceramic Capacitor X5R 0603 (1608 Metric),4,311-1787-1-ND,3114731,603-CC603KRX5R9BB105,2006554,Cut Tape,Cut Tape,Tape & Reel,,0.2201888,0.2074856,0.5335344,,30668,127096,55761,4000,1,1,1,4000,https://octopart.com/click/track?ai=8237&sig=033533e&sid=459&ppid=48690813&vpid=193846448&ct=offers,https://octopart.com/click/track?ai=8237&sig=0e0c805&sid=2454&ppid=48690813&vpid=657080527&ct=offers,https://octopart.com/click/track?ai=8237&sig=0d1a93b&sid=2401&ppid=48690813&vpid=193870227&ct=offers,https://octopart.com/click/track?ai=8237&sig=03d4fc0&sid=10022&ppid=48690813&vpid=654387875&ct=offers,Quest,CC0603KRX5R9BB105,,0.1778448,0.7113792,0.7113792,17,1,https://octopart.com/click/track?ai=8237&sig=0e5f4a5&sid=2412&ppid=48690813&vpid=599867522&ct=offers,
2,445-6098-1-ND,TDK,C3225X7R2A225K230AM,https://octopart.com/c3225x7r2a225k230am-tdk-25947876,C94 C96,,2.2µF ±10% 100V MLCC X7R 1210 (3225 Metric),2,445-6098-1-ND,,810-C3225X7R2A225KT5,9163030,Cut Tape,,Tape & Reel,,0.6012848,,0.63516,,14143,,54739,560,1,,1,10,https://octopart.com/click/track?ai=8237&sig=036ea9f&sid=459&ppid=25947876&vpid=63975537&ct=offers,,https://octopart.com/click/track?ai=8237&sig=058e846&sid=2401&ppid=25947876&vpid=66164787&ct=offers,https://octopart.com/click/track?ai=8237&sig=079c887&sid=10022&ppid=25947876&vpid=565920501&ct=offers,Digi-Key,445-6098-1-ND,Cut Tape,0.6012848,1.2025696,1.2025696,14143,1,https://octopart.com/click/track?ai=8237&sig=036ea9f&sid=459&ppid=25947876&vpid=63975537&ct=offers,
1,1276-2876-1-ND,Samsung,CL31A106KBHNNNE,https://octopart.com/cl31a106kbhnnne-samsung-19832778,C93,,10µF ±10% 50V MLCC X5R 1206 (3216 Metric),1,1276-2876-1-ND,2053393,,,Cut Tape,Cut Tape,,,0.3302832,0.4911904,,,1069944,1206456,,,1,1,,,https://octopart.com/click/track?ai=8237&sig=095f5c9&sid=459&ppid=19832778&vpid=72527730&ct=offers,https://octopart.com/click/track?ai=8237&sig=025274d&sid=2454&ppid=19832778&vpid=495872823&ct=offers,,,Digi-Key,1276-2876-1-ND,Cut Tape,0.3302832,0.3302832,0.3302832,1069944,1,https://octopart.com/click/track?ai=8237&sig=095f5c9&sid=459&ppid=19832778&vpid=72527730&ct=offers,
4,BAV199DW-FDITR-ND,Diodes Inc.,BAV199DW-7-F,https://octopart.com/bav199dw-7-f-diodes+inc.-326243,D2 D3 D4 D5,,Diode Array 2 Pair Series Connection Standard 85V 140mA (DC) Surface Mount 6-TSSOP  SC-88  SOT-363,4,BAV199DW-FDICT-ND,1129707,621-BAV199DW-F,7513437,Cut Tape,Tape & Reel,Tape & Reel,,0.3641584,,0.3641584,,191228,0,54867,1250,1,3000,1,25,https://octopart.com/click/track?ai=8237&sig=036db41&sid=459&ppid=326243&vpid=1225364&ct=offers,https://octopart.com/click/track?c=1&ai=8237&sig=02f63d1&sid=2454&ppid=326243&vpid=657124978&ct=offers,https://octopart.com/click/track?ai=8237&sig=07874d8&sid=2401&ppid=326243&vpid=37598637&ct=offers,https://octopart.com/click/track?ai=8237&sig=03350cf&sid=10022&ppid=326243&vpid=576072584&ct=offers,Quest,BAV199DW-7-F,,0.12872576,0.51490304,0.51490304,78,1,https://octopart.com/click/track?ai=8237&sig=01eedb2&sid=2412&ppid=326243&vpid=76824565&ct=offers,
